company_name,company_website,ats,job_title,job_location,job_type,job_salary,job_description_short,job_contact_person,job_contact_email,job_url,source_raw,date
Bebob,https://bebop.xyz/,Lever,Algorithmic Trading Internship (Summer 2026),London,Full-time,,"About Wintermute Wintermute is one of the largest crypto-native algorithmic trading companies in digital assets. We provide liquidity algorithmically across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. We actively participate in the development of the blockchain ecosystem through investments, partnerships, and incubation of projects.Winterm",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/9ea53f8c-f7bf-4aec-89ea-3ba622645404,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Business Development & Partnerships Associate,London,Full-time,,"About WintermuteWintermute is a technology unicorn and one of the leading global players in the digital asset markets. Wintermute is the largest crypto-native algorithmic trading company providing liquidity across all major exchanges and trading platforms. Our OTC desk offers a wide range of spot and derivatives products and supports over 2,000 counterparties across crypto natives and traditional financial institutions. We actively participate in the development of the blockchain ecosystem by be",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/8c04088f-1320-47c7-bc70-3eab01c12e17,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Business Development & Partnerships Director,New York,Full-time,,"About WintermuteWintermute is a technology unicorn and one of the leading global players in the digital asset markets. Wintermute is the largest  crypto-native algorithmic trading company providing liquidity across all major exchanges and trading platforms. . Our OTC desk offers a wide range of spot and derivatives products and supports over 2,000 counterparties across crypto natives and traditional financial institutions. We actively participate in the development of the blockchain ecosystem by",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/d864dd5c-4c3b-454b-8b82-4146d1a46edd,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Business Development & Partnerships Manager,New York,Full-time,,"About WintermuteWintermute is a technology unicorn and one of the leading global players in the digital asset markets. Wintermute is the largest  crypto-native algorithmic trading company providing liquidity across all major exchanges and trading platforms. . Our OTC desk offers a wide range of spot and derivatives products and supports over 2,000 counterparties across crypto natives and traditional financial institutions. . We actively participate in the development of the blockchain ecosystem ",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/8180fa60-4020-45e2-931c-dc55243b1c12,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,C++ Quant Developer,London,Full-time,,"About WintermuteWintermute is one of the largest crypto-native algorithmic trading companies in digital assets. We provide liquidity algorithmically across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. Wintermute also has a Wintermute Ventures arm that invests in early stage DeFi projects. Wintermute was founded in 2017 by industry leaders a",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/4cab7a75-4304-4590-90c5-6755dbd97d36,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,C++ Quant Developer - Options,London,Full-time,,"About WintermuteWintermute is one of the largest crypto-native algorithmic trading companies in digital assets. We provide liquidity algorithmically across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. Wintermute also has a Wintermute Ventures arm that invests in early stage DeFi projects. Wintermute was founded in 2017 by industry leaders a",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/89c2714e-7748-42ab-a03c-36fc821f7362,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,C++ Trading Platform Developer,London,Full-time,,"About WintermuteWintermute is one of the largest crypto-native algorithmic trading companies in digital assets. We provide liquidity algorithmically across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. Wintermute also has a Wintermute Ventures arm that invests in early stage DeFi projects. Wintermute was founded in 2017 by industry leaders a",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/8c31337e-9989-4cf2-9cab-e876cbc96f10,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Core Developer (Python),London,Full-time,,"About WintermuteWintermute is one of the largest crypto-native algorithmic trading companies in digital assets. We provide liquidity algorithmically across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. Wintermute also has a Wintermute Ventures arm that invests in early stage DeFi projects. Wintermute was founded in 2017 by industry leaders a",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/d059ea72-e3d2-42ce-bbb3-d47531e0c933,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Graduate Algorithmic Trader 2026,London,Full-time,,"About Wintermute Wintermute is one of the largest crypto-native algorithmic trading companies in digital assets. We provide liquidity algorithmically across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. We actively participate in the development of the blockchain ecosystem through investments, partnerships, and incubation of projects.Winterm",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/06eb85da-c5b3-4e49-a906-8ac0f3452517,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Graduate DeFi Algorithmic Trader,London / Singapore,Full-time,,"About WintermuteWintermute is one of the largest crypto-native algorithmic trading companies in digital assets. We provide liquidity algorithmically across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading products as well as support high profile blockchain projects and traditional financial institutions moving into crypto. We actively participate in the development of the blockchain ecosystem through investments, partnerships, and incubation of projects. Wintermu",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/ab93223c-daee-4b0c-8797-cb9a77f32391,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Graduate Quant Researcher,London,Full-time,,"About Wintermute Wintermute is one of the largest crypto native algorithmic trading companies in digital assets. We provide liquidity across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. Wintermute also has a Wintermute Ventures arm that invests in early stage DeFi projects. Wintermute was founded in 2017 and has successfully navigated indus",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/616070e7-e6bf-4668-acd8-b20452b16c7b,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,HR Operations Manager,London,Full-time,,"About Wintermute Wintermute is a technology unicorn and one of the leading global players in the digital asset markets. Wintermute is the largest crypto-native algorithmic trading company providing liquidity across all major exchanges and trading platforms. Our OTC desk offers a wide range of spot and derivatives products and supports over 2,000 counterparties across crypto natives and traditional financial institutions. We actively participate in the development of the blockchain ecosystem by b",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/d95ae71d-831e-45b5-8976-23f4c33dbdac,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Human Resource Lead,London,Full-time,,"About WintermuteWintermute is a technology unicorn and one of the leading global players in the digital asset markets. Wintermute is the largest crypto-native algorithmic trading company providing liquidity across all major exchanges and trading platforms. Our OTC desk offers a wide range of spot and derivatives products and supports over 2,000 counterparties across crypto natives and traditional financial institutions. We actively participate in the development of the blockchain ecosystem by be",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/e40fa582-17a0-4186-b117-38d48aefe56e,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Infrastructure Support Engineer,London,Full-time,,"About WintermuteWintermute is one of the largest crypto-native algorithmic trading companies in digital assets. We provide liquidity algorithmically across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. Wintermute also has a Wintermute Ventures arm that invests in early stage DeFi projects. Wintermute was founded in 2017 by industry leaders a",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/d59507d5-3a38-4d3a-b25e-9b39c89279fa,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Investment Associate (with focus on Liquid Strategies),New York,Full-time,,"About WintermuteWintermute is one of the largest crypto native algorithmic trading companies in digital assets. We provide liquidity across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. Wintermute also has a Wintermute Ventures arm that invests in early stage DeFi projects. Wintermute was founded in 2017 and has successfully navigated indust",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/8dd577b2-ebfc-4f3c-b4ad-097c08ae7273,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Machine Learning Researcher,London,Full-time,,"About Wintermute Wintermute is one of the largest crypto native algorithmic trading companies in digital assets. We provide liquidity across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. Wintermute also has a Wintermute Ventures arm that invests in early stage DeFi projects. Wintermute was founded in 2017 and has successfully navigated indus",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/a37ce8fb-afc7-4ede-ae93-ca1395228cda,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Onboarding Specialist (UK),London,Full-time,,"About Wintermute Wintermute is a technology unicorn and one of the leading global players in the digital asset markets. Wintermute is the largest crypto-native algorithmic trading company providing liquidity across all major exchanges and trading platforms. Our OTC desk offers a wide range of spot and derivatives products and supports over 2,000 counterparties across crypto natives and traditional financial institutions. We actively participate in the development of the blockchain ecosystem by b",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/15e9bbca-4d25-433e-af05-71d8a44daeee,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Onboarding Specialist (US),New York,Full-time,,"About Wintermute Wintermute is a technology unicorn and one of the leading global players in the digital asset markets. Wintermute is the largest crypto-native algorithmic trading company providing liquidity across all major exchanges and trading platforms. Our OTC desk offers a wide range of spot and derivatives products and supports over 2,000 counterparties across crypto natives and traditional financial institutions. We actively participate in the development of the blockchain ecosystem by b",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/cce4c365-9381-4c19-b339-fe39383c937d,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Product Manager,London/New York,Full-time,,"About Wintermute Wintermute is a technology unicorn and one of the leading global players in the digital asset markets. Wintermute is the largest crypto-native algorithmic trading company providing liquidity across all major exchanges and trading platforms. Our OTC desk offers a wide range of spot and derivatives products and supports over 2,000 counterparties across crypto natives and traditional financial institutions. We actively participate in the development of the blockchain ecosystem by b",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/cc1ae0c6-7e19-4aa3-95aa-0d109b10edda,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Quant Researcher (MFT Focus),London,Full-time,,"About Wintermute Wintermute is one of the largest crypto native algorithmic trading companies in digital assets. We provide liquidity across most cryptocurrency exchanges and trading platforms, a broad range of OTC trading solutions as well as support high profile blockchain projects and traditional financial institutions moving into crypto. Wintermute also has a Wintermute Ventures arm that invests in early stage DeFi projects. Wintermute was founded in 2017 and has successfully navigated indus",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/0874ca9b-7c02-4364-bb78-b7b04272351e,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Senior Designer / Design Lead,London/ New York/ Remote,Full-time,,"About WintermuteWintermute is a technology unicorn and one of the leading global players in digital asset markets. As the largest crypto-native algorithmic trading firm, Wintermute provides liquidity across all major exchanges and trading platforms. Our OTC desk offers an extensive range of spot and derivatives products, serving over 2,000 counterparties, including both crypto-native and traditional financial institutions.Beyond trading, Wintermute actively contributes to the growth and developm",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/0b6eedfd-219b-4610-b4f8-09aed9d02380,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Bebob,https://bebop.xyz/,Lever,Strategy & Operations Associate,London,Full-time,,"About WintermuteWintermute is a technology unicorn and one of the leading global players in the digital asset markets. Wintermute is the largest crypto-native algorithmic trading company providing liquidity across all major exchanges and trading platforms. Our OTC desk offers a wide range of spot and derivatives products and supports over 2,000 counterparties across crypto natives and traditional financial institutions. We actively participate in the development of the blockchain ecosystem by be",Ishaq Namajee,,https://jobs.lever.co/wintermute-trading/847a0e8f-452c-4acd-8fa1-4b9bd0e7cb55,https://api.lever.co/v0/postings/wintermute-trading,2025-12-19
Blockhouse Capital,https://blockhouse.app/,Ashby,Quantitative Developer - Low Latency Crypto,New York City Area,FullTime,,"QUANTITATIVE DEVELOPER – LOW LATENCY CRYPTO

Location: New York, NY (In-Person)

Company: Blockhouse

Job Type: Full-Time (In-office, 5 days / week)

Compensation: Between $150,000 - $250,000 total compensation with added trading performance bonus and opportunities for provision of seed capital

Note: This role is for candidates with 1 - 3 years of experience as a crypto HFT developer.


ABOUT BLOCKHOUSE

Blockhouse is building intelligent execution algorithms for institutional traders. Our plat",Aaditya and Pranav,,https://jobs.ashbyhq.com/blockhouse/3adf4ba9-c176-462f-a46e-cc0552bfb560,https://api.ashbyhq.com/posting-api/job-board/blockhouse?includeCompensation=true,2025-12-19
Blockhouse Capital,https://blockhouse.app/,Ashby,Quantitative Researcher ,New York City Area,FullTime,,"QUANTITATIVE RESEARCHER – CRYPTO

Location: New York, NY (In-Person)

Company: Blockhouse

Job Type: Full-Time (In-office, 5 days / week)

Compensation: Between $120,000 - $250,000 total compensation with added trading performance bonus and opportunities for provision of seed capital

Note: This role is for candidates with 2 - 4 years of experience on an algorithmic trading desk, specifically trading on CEXs and DEXs


ABOUT BLOCKHOUSE

Blockhouse is building intelligent execution algorithms for",Aaditya and Pranav,,https://jobs.ashbyhq.com/blockhouse/c0cf4460-ba04-4f22-9edc-2660e005fc52,https://api.ashbyhq.com/posting-api/job-board/blockhouse?includeCompensation=true,2025-12-19
Caldera,caldera.xyz,Ashby,Staff Distributed Systems Engineer (Metalayer),NYC or Remote,FullTime,,"We’re looking for an incredible software engineer to help us build the future of blockchain interoperability. You will contribute to the Metalayer, our new product that makes interop easy for our network of over 75 rollups and dapp developers who want to access users across them.

Your focus will be on designing and implementing the smart contracts and off-chain infrastructure that power cross-chain interactions. You'll tackle challenges like designing secure bridging mechanisms, implementing ef",Jake,,https://jobs.ashbyhq.com/caldera/6fc4d8a5-94d0-4e8f-9454-7d0b967ec26d,https://api.ashbyhq.com/posting-api/job-board/caldera?includeCompensation=true,2025-12-19
Caldera,caldera.xyz,Ashby,Protocol Engineer,NYC or Remote,FullTime,,"We’re looking for an exceptional Protocol Engineer to help us push the frontier of blockchain interoperability. You’ll focus on the on‑chain layer of the Metalayer—Caldera’s high‑performance, stack‑agnostic bridge that already serves 75+ rollups and their users.
Your day‑to‑day will involve architecting and hardening smart contracts that move real value across chains, designing security‑critical role and upgrade patterns, and collaborating with audit partners to ship code that can safely secure ",Jake,,https://jobs.ashbyhq.com/caldera/9fb62ed9-4ac4-4bd9-b859-76c2a9b40c71,https://api.ashbyhq.com/posting-api/job-board/caldera?includeCompensation=true,2025-12-19
Crypto.com,https://crypto.com/,Lever,(Senior) Data Engineer,"Shenzhen, China",Full-time,,,Tom Lau,,https://jobs.lever.co/crypto/29dce655-2e20-4146-9227-0073c46b0fba,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,(Senior) Data Engineer,"Hong Kong, Hong Kong SAR",,,,Tom Lau,,https://jobs.lever.co/crypto/43169715-739f-4bf5-9359-0153390f710c,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,(Senior) Data Engineer,"Taipei, Taiwan",,,,Tom Lau,,https://jobs.lever.co/crypto/97221036-a770-4982-a28e-cc17fc6ba876,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,(Senior) DevOps Engineer- AI Innovation,"Shenzhen, China",,,"We are a team to design, develop, maintain, and improve software for various ventures projects, i.e., projects that are adjacent to our core businesses and are bootstrapped fast with a lean team. You will be actively involved in the design of various components behind scalable applications, from frontend UI to backend infrastructure.",Tom Lau,,https://jobs.lever.co/crypto/302e690d-394c-4628-9f33-7f08c52c12dc,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,(Senior) DevOps Engineer- AI Innovation,"Singapore, Singapore",,,"We are a team to design, develop, maintain, and improve software for various ventures projects, i.e., projects that are adjacent to our core businesses and are bootstrapped fast with a lean team. You will be actively involved in the design of various components behind scalable applications, from frontend UI to backend infrastructure.",Tom Lau,,https://jobs.lever.co/crypto/77af4f2e-30cc-4faf-88ea-6342884d4427,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,(Senior) DevOps Engineer- AI Innovation,"Hong Kong, Hong Kong SAR",,,"We are a team to design, develop, maintain, and improve software for various ventures projects, i.e., projects that are adjacent to our core businesses and are bootstrapped fast with a lean team. You will be actively involved in the design of various components behind scalable applications, from frontend UI to backend infrastructure.",Tom Lau,,https://jobs.lever.co/crypto/851c6cf7-5e84-4a2f-8959-f3cc1f0075e3,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,(Senior) DevOps Engineer- AI Innovation,"Taipei, Taiwan",,,"We are a team to design, develop, maintain, and improve software for various ventures projects, i.e., projects that are adjacent to our core businesses and are bootstrapped fast with a lean team. You will be actively involved in the design of various components behind scalable applications, from frontend UI to backend infrastructure.",Tom Lau,,https://jobs.lever.co/crypto/e276365e-f4ea-4950-934c-bf7202fb026b,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,(Senior) Human Resources Associate,"Taipei, Taiwan",Full-time,,"The People and Culture team drives employee experience from talent acquisition, onboarding, people operations (payroll, benefits, reporting etc.), to talent development and retention.Besides, our team cultivates the company culture and drives employee connectivity to increase a sense of belonging at workplace. We’re looking for a passionate HR professional to join us and transform HR journey and make impact to business. Come join us to accelerate your growth! ",Tom Lau,,https://jobs.lever.co/crypto/a2cd6cbb-6477-4bc9-8a55-22a140d3da7a,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,"(Senior) Product Manager, Sports","Singapore, Singapore",Full-time,,"Our Product Management team drives product initiatives from inception through execution, makes impacts and launches products/features across our global footprint. We collaborate closely with engineers, designers, analysts, marketers, and other cross-functional team members to ship remarkable features and products.",Tom Lau,,https://jobs.lever.co/crypto/2499ce39-7dbe-4631-8464-892f0367f773,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,"(Senior) Product Manager, Sports","Hong Kong, Hong Kong SAR",Full-time,,"Our Product Management team drives product initiatives from inception through execution, makes impacts and launches products/features across our global footprint. We collaborate closely with engineers, designers, analysts, marketers, and other cross-functional team members to ship remarkable features and products.",Tom Lau,,https://jobs.lever.co/crypto/4fe8b563-d6bd-417e-af30-167b96947f35,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,"(Senior) Product Manager, Sports","Taipei, Taiwan",Full-time,,"Our Product Management team drives product initiatives from inception through execution, makes impacts and launches products/features across our global footprint. We collaborate closely with engineers, designers, analysts, marketers, and other cross-functional team members to ship remarkable features and products.",Tom Lau,,https://jobs.lever.co/crypto/750362b5-b757-482a-a14e-81e308c358c8,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,"(Senior) Security Engineer, Security Engineering & Threat Intelligence","Hong Kong, Hong Kong SAR",,,"We are looking for an intermediate level security engineer to join our Global Cybersecurity Services Team. As part of our modern cybersecurity operating model, the role will be engaged in enhancing our security technology stack, building AI driven security automation workflows and contributing to security operations and threat management. We are building a modern, multi-cloud, intelligence driven security operations capability that will heavily involve AI and automation; and will require enginee",Tom Lau,,https://jobs.lever.co/crypto/e3d542da-1050-4e86-881c-3be295e4de2c,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,(Senior) Strategy Associate,"San Fransisco, California",Full-time,,"What to ExpectWork on high-impact and diverse projects- You will have the opportunity to advise management on emerging industry trends and key business decisions, optimize key processes, and orchestrate key initiatives. Your work will be important to our business growth and sustainability, and cover a broad spectrum of topics.Own your initiative from end to end- You get to experience the full product cycle - from conception of an idea, to product launch, and ongoing KPI monitoring. You get to se",Tom Lau,,https://jobs.lever.co/crypto/38912e62-fcca-462d-878e-5f7ff50b562c,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,(Senior) Strategy Manager,"San Fransisco, California",Full-time,,"What to ExpectWork on high-impact and diverse projects- You will have the opportunity to advise management on emerging industry trends and key business decisions, optimize key processes, and orchestrate key initiatives. Your work will be important to our business growth and sustainability, and cover a broad spectrum of topics.Own your initiative from end to end- You get to experience the full product cycle - from conception of an idea, to product launch, and ongoing KPI monitoring. You get to se",Tom Lau,,https://jobs.lever.co/crypto/c67bc816-7e26-4ff5-9005-086f98ac199f,https://api.lever.co/v0/postings/crypto,2025-12-19
Crypto.com,https://crypto.com/,Lever,"(Senior)Product Manager, Sports","London, United Kingdom",Full-time,,"Our Product Management team drives product initiatives from inception through execution, makes impacts and launches products/features across our global footprint. We collaborate closely with engineers, designers, analysts, marketers, and other cross-functional team members to ship remarkable features and products.We are looking for Product Managers to drive product initiatives from inception through execution. This is a unique opportunity for someone with vision to architect and manage an indust",Tom Lau,,https://jobs.lever.co/crypto/abb163d8-0432-453d-b863-7d3ddad2e54b,https://api.lever.co/v0/postings/crypto,2025-12-19
